order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,Date,product_id,quantity,customer_id,customer_name,address,area,pincode,customer_segment,product_name,category,brand,price,Total_Sale,margin_percentage,feedback_id,rating,feedback_text,feedback_category,sentiment,delivery_partner_id,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,stock_received,damaged_stock,Img,Emoji,Star
3209159169,72425987,23/02/23 12:17,23/02/23 12:31,23/02/23 12:34,On Time,4646.04,Card,6921,1998084501,23/02/23,607426,2,72425987,Prisha Chawla,"H.No. 11, Grewal Nagar, Jamnagar 826199",Kishanganj,187489,New,eos voluptatum,Grocery & Staples,Agrawal Group,306.67,613.34,15,1940021,4,Assumenda provident neque. Et cupiditate nulla perferendis nihil consequuntur sint.,Customer Service,Positive,6921,3,2.8,On Time,Traffic,0,1,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
9853270521,17468859,13/02/23 22:42,13/02/23 22:53,13/02/23 22:52,On Time,3454.38,UPI,78321,8674256936,13/02/23,913078,2,17468859,Ishita Arya,"90/409, Bumb Road
Durgapur 683832",Bangalore,526705,Inactive,animi error,Pharmacy,More-Varughese,943.65,1887.3,20,9971911,4,Maiores minima dolorum est. Vel rem quisquam nam corrupti.,Product Quality,Positive,78321,-1,3.88,On Time,,0,1,https://i.postimg.cc/W3x7FCP9/pharmacy.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
3154879255,98054051,10/07/23 21:35,10/07/23 21:53,10/07/23 21:57,On Time,5524.03,Wallet,2877,4513066756,10/07/23,402306,1,98054051,Eiravati Patla,"48/66, Parekh Zila, Mangalore 578255",Shivpuri,596083,Premium,voluptates perferendis,Cold Drinks & Juices,Koshy LLC,199.87,199.87,30,1785374,5,Ipsa enim sunt cumque dolore aspernatur. Nisi dolor sapiente vero soluta aliquam.,Delivery,Positive,2877,4,1.57,On Time,Traffic,2,0,https://i.postimg.cc/kXrKPWsd/softdrink.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
8120837867,30622634,27/08/23 11:55,27/08/23 12:07,27/08/23 12:03,On Time,2874.04,Wallet,32879,2754131382,27/08/23,317913,1,30622634,Bachittar Bhasin,"43
Jaggi Zila
Thiruvananthapuram-631980",Buxar,834347,Premium,illo assumenda,Cold Drinks & Juices,Hayre and Sons,898.61,898.61,30,2271365,4,Totam vel maxime aut. Libero corporis suscipit.,App Experience,Positive,32879,-4,0.59,On Time,,0,0,https://i.postimg.cc/kXrKPWsd/softdrink.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
5731804243,31521572,25/10/23 20:24,25/10/23 20:36,25/10/23 21:04,Significantly Delayed,2355.9,Cash,90280,4213560996,25/10/23,869164,1,31521572,Garima Kaur,"62/60, Kaur, Phusro-639973",Faridabad,32968,Regular,amet tempore,Dairy & Breakfast,Aggarwal-Verma,477.36,477.36,20,1554310,2,At harum minima totam dolorem. Saepe ipsam animi reiciendis occaecati voluptatem.,Product Quality,Negative,90280,28,2.48,Significantly Delayed,Traffic,2,1,https://i.postimg.cc/X7wFjX1B/food.png,https://i.postimg.cc/zGbrMQ9C/sad.png,__
4395520324,67226473,10/03/23 12:15,10/03/23 12:30,10/03/23 12:25,On Time,3369.87,Wallet,3993,5517522423,10/03/23,182481,1,67226473,Andrew Saxena,"H.No. 97, Sidhu Ganj, Haldia 565601",Satna,484463,Inactive,quibusdam laudantium,Pharmacy,"Yohannan, Nayak and Tank",400.67,400.67,20,1193166,4,Doloremque sapiente ullam sed. Itaque fuga velit fuga temporibus minus.,Product Quality,Positive,3993,-5,1.62,On Time,,2,0,https://i.postimg.cc/W3x7FCP9/pharmacy.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
4650318593,2493076,15/12/23 11:37,15/12/23 11:53,15/12/23 11:52,On Time,1955.04,Card,18477,7739436358,15/12/23,536226,1,2493076,Irya Dora,"H.No. 34, Barad Marg, Saharanpur 235815",Faridabad,942700,Inactive,suscipit repellendus,Personal Care,Chakraborty-Khanna,129.61,129.61,35,8539810,5,Earum eum nesciunt ea vitae rem esse. Enim eum rem sapiente.,Product Quality,Positive,18477,-1,4.8,On Time,,0,0,https://i.postimg.cc/hvmm7GSw/personal-care.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
2734329324,84803951,25/05/23 20:07,25/05/23 20:18,25/05/23 20:14,On Time,2321.76,Cash,41583,3092801051,25/05/23,39812,2,84803951,Bachittar Korpal,"H.No. 59, Hegde Ganj, Korba 752307",Sasaram,498442,Premium,soluta enim,Pet Care,Sarraf-Varkey,687.03,1374.06,35,5484863,4,Magnam placeat mollitia ab nemo. Hic ipsam earum quam asperiores repudiandae similique.,App Experience,Positive,41583,-4,2.51,On Time,,2,1,https://i.postimg.cc/FRMdmQjx/pet-food.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
7312766372,78110713,20/01/23 9:51,20/01/23 10:02,20/01/23 10:04,On Time,3251.22,UPI,59770,5774680491,20/01/23,167886,3,78110713,Yasti Mandal,"852
Mane Marg
Tiruvottiyur 999586",Rajkot,259931,New,enim odit,Personal Care,Chaudhary LLC,897.69,2693.07,35,9010150,4,Voluptatibus veniam velit nisi aut eum. Saepe aspernatur suscipit repellendus accusantium.,Customer Service,Positive,59770,2,1.84,On Time,Traffic,0,1,https://i.postimg.cc/hvmm7GSw/personal-care.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
4251165351,89114310,24/10/23 7:10,24/10/23 7:29,24/10/23 7:31,On Time,722.88,Cash,74687,7160816768,24/10/23,965588,2,89114310,Viraj Banerjee,"H.No. 630
Tiwari Street
Giridih-980264",Thoothukudi,475051,Inactive,placeat provident,Fruits & Vegetables,Lanka LLC,689.04,1378.08,25,8816924,5,Architecto quae ipsa sint. Error saepe fuga inventore accusantium.,App Experience,Positive,74687,2,2.25,On Time,Traffic,1,1,https://i.postimg.cc/sgsWvyb6/fruits.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
5848721367,56352167,03/12/23 5:44,03/12/23 6:04,03/12/23 6:06,On Time,1772.88,Cash,34591,1356806992,03/12/23,385835,1,56352167,Gavin Bhatti,"02/66, Aggarwal Zila, Bally 116592",Guna,99913,Premium,voluptas earum,Grocery & Staples,Saini-Tank,809.8,809.8,15,9125521,4,Enim quae porro. Hic ea neque ipsa dolorem fugit deleniti. Eius saepe dignissimos.,Delivery,Positive,34591,2,2.09,On Time,Traffic,2,0,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
6511387030,24664544,19/12/23 3:54,19/12/23 4:06,19/12/23 4:35,Significantly Delayed,1196.24,Cash,70828,4414034851,19/12/23,571385,3,24664544,Gaurangi Karpe,"H.No. 881, Manne Chowk, Bhusawal 476796",Warangal,559393,Regular,nemo delectus,Grocery & Staples,"Choudhury, Comar and Deshpande",569.92,1709.76,15,1375218,2,Natus voluptatum consequuntur natus. Officiis error iusto reprehenderit modi officia eius.,App Experience,Negative,70828,29,3.73,Significantly Delayed,Traffic,2,0,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/zGbrMQ9C/sad.png,__
2181170344,96689698,30/03/23 2:34,30/03/23 2:52,30/03/23 2:51,On Time,2177.23,Cash,98339,8358239378,30/03/23,49731,1,96689698,Naksh Khosla,"95/555, Verma Path, Kolkata 252788",Danapur,98154,Premium,quidem tenetur,Cold Drinks & Juices,"Din, Chowdhury and Kari",889.53,889.53,30,2244901,5,Ducimus temporibus id. Libero magnam ea. Esse accusamus ad minus modi in.,Delivery,Positive,98339,-1,3.37,On Time,,1,0,https://i.postimg.cc/kXrKPWsd/softdrink.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
9471369897,14669118,03/06/23 6:59,03/06/23 7:18,03/06/23 7:21,On Time,4517.26,Card,348,1028498257,03/06/23,854898,3,14669118,Brinda Sengupta,"07/717, Randhawa Path, Muzaffarnagar 772413",Deoghar,584141,Regular,exercitationem provident,Instant & Frozen Food,Kumar Group,831.75,2495.25,40,9068242,5,Modi officia amet minus magni at fugiat. Excepturi nesciunt aliquid doloremque ad nostrum ipsum.,Customer Service,Positive,348,3,1.13,On Time,Traffic,1,1,https://i.postimg.cc/1RVwdvpH/ice-cream.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
1805960522,44368343,07/08/23 6:24,07/08/23 6:36,07/08/23 6:32,On Time,1204.98,Cash,27598,7349704101,07/08/23,901230,2,44368343,Wakeeta Anand,"05/74, Wagle Marg
Erode 130103",Howrah,47712,Regular,eos fuga,Grocery & Staples,Shetty Inc,282.54,565.08,15,7098264,4,Corporis quidem odio occaecati odio nemo eligendi. Explicabo quas quas molestias quam.,Delivery,Positive,27598,-4,1.79,On Time,,0,1,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
5609812355,24647751,13/12/23 10:55,13/12/23 11:06,13/12/23 11:17,Slightly Delayed,4019.52,Wallet,89634,4738255817,13/12/23,227250,1,24647751,Indira Barman,"76/261, Luthra Circle
Anand 420008",Amravati,766623,Premium,aperiam explicabo,Household Care,"Sampath, Guha and Gera",973.53,973.53,25,299388,4,Unde vitae veritatis dignissimos. Laboriosam atque laborum ex facilis maxime ipsa.,Delivery,Neutral,89634,11,2.66,Slightly Delayed,Traffic,2,0,https://i.postimg.cc/1tnnLzNt/cleaning-tools.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
1135946844,69661546,16/01/23 9:52,16/01/23 10:05,16/01/23 10:01,On Time,5104.92,Cash,66236,9434097249,16/01/23,499558,3,69661546,Pratyush Mallick,"H.No. 35
Chawla Road
Ulhasnagar 401341",Kurnool,234782,Premium,hic beatae,Instant & Frozen Food,Naidu-Maharaj,342.63,1027.89,40,3680097,4,Rem praesentium maxime pariatur est. Provident harum eum earum unde esse deserunt ab.,Product Quality,Positive,66236,-4,0.72,On Time,,1,0,https://i.postimg.cc/1RVwdvpH/ice-cream.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
7371412416,51375566,11/11/23 2:03,11/11/23 2:19,11/11/23 2:29,Slightly Delayed,1458.19,Wallet,73740,8976911130,11/11/23,330890,2,51375566,Ridhi Dhillon,"H.No. 55, Ranganathan
Ramgarh-284330",Etawah,862133,Inactive,error sapiente,Baby Care,Jhaveri-Biswas,984.22,1968.44,30,631837,4,Repellendus veniam officiis explicabo ut.,Delivery,Neutral,73740,10,4.72,Slightly Delayed,Traffic,1,0,https://i.postimg.cc/k55tvsJW/feeding.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
9872882754,6101114,24/10/23 16:16,24/10/23 16:36,24/10/23 16:34,On Time,2196.55,Card,14365,9707731859,24/10/23,135471,1,6101114,Aayush Gandhi,"H.No. 99
Rattan Circle
Jabalpur-599693",Ambala,27615,Premium,dicta maxime,Grocery & Staples,Batta-Shankar,799.43,799.43,15,6347302,4,Sed culpa suscipit magni. Fugit soluta repudiandae odio temporibus dicta.,Product Quality,Positive,14365,-2,2.7,On Time,,2,0,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
745905638,57583636,18/01/23 20:13,18/01/23 20:25,18/01/23 20:33,Slightly Delayed,1289.2,Cash,29973,4543217776,18/01/23,814101,3,57583636,Pushti Ramesh,"416
Soni Chowk, Bongaigaon-640071",Ludhiana,412389,Premium,quae autem,Pet Care,"Chaudhary, Tara and Dubey",691.18,2073.54,35,1691397,3,Maxime quaerat quibusdam nihil deserunt. Veritatis et illum iste ratione. Excepturi illum ipsam.,Delivery,Neutral,29973,8,2.95,Slightly Delayed,Traffic,1,0,https://i.postimg.cc/FRMdmQjx/pet-food.png,https://i.postimg.cc/d02zccny/confused.png,___
6961931889,43567508,11/08/23 6:37,11/08/23 6:48,11/08/23 6:50,On Time,1869.08,Wallet,13890,9793291846,11/08/23,901230,1,43567508,Ekansh Mand,"71/626, Dugal Nagar
Sri Ganganagar-372399",New Delhi,554511,Premium,eos fuga,Grocery & Staples,Shetty Inc,282.54,282.54,15,1956220,4,Ex nihil provident vero. Delectus animi voluptatum.,Delivery,Positive,13890,2,1.4,On Time,Traffic,0,1,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
5398212395,28348383,18/12/23 16:14,18/12/23 16:31,18/12/23 16:33,On Time,2781.54,UPI,46730,2969249124,18/12/23,811951,1,28348383,Robert Chatterjee,"837
Khare Road, Pallavaram-383410",Bardhaman,375517,New,optio debitis,Cold Drinks & Juices,Lalla and Sons,581.75,581.75,30,7472551,5,Reiciendis eaque illo velit fugiat quam incidunt. Dolor illum harum mollitia provident quia.,Product Quality,Positive,46730,2,1.31,On Time,Traffic,2,0,https://i.postimg.cc/kXrKPWsd/softdrink.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
7615247922,64165703,07/11/23 3:47,07/11/23 4:04,07/11/23 4:06,On Time,4717.37,Wallet,96161,6395801091,07/11/23,830761,1,64165703,Frederick Bhardwaj,"93/312, Sarma Zila
Khammam-288592",Berhampur,972107,Premium,animi tempora,Cold Drinks & Juices,Viswanathan and Sons,680.05,680.05,30,3147677,4,Autem culpa veritatis beatae sapiente. Qui fuga quisquam quod ipsa eligendi.,App Experience,Positive,96161,2,3.77,On Time,Traffic,1,0,https://i.postimg.cc/kXrKPWsd/softdrink.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
4112138992,63361285,24/03/23 9:25,24/03/23 9:36,24/03/23 9:35,On Time,3705.25,Wallet,3584,7432169278,24/03/23,548246,3,63361285,Pranit Wali,"132, Banerjee Ganj
Jamalpur 368655",Mysore,478896,Premium,vel rerum,Fruits & Vegetables,Arya-Roy,105.85,317.55,25,1567053,4,Maxime animi accusantium eius ut. Dolorum ex facere.,Customer Service,Positive,3584,-1,3.29,On Time,,1,0,https://i.postimg.cc/sgsWvyb6/fruits.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
447958473,40233092,30/01/23 23:17,30/01/23 23:28,30/01/23 23:27,On Time,1905.33,UPI,27165,1958244531,30/01/23,279942,2,40233092,Vrishti Shroff,"H.No. 224, Chaudhry Path
Bokaro 754761",Bhilai,909736,Inactive,neque aut,Snacks & Munchies,Parsa Group,890.62,1781.24,35,9438401,5,Quas optio fuga.,Product Quality,Positive,27165,-1,1.68,On Time,,0,1,https://i.postimg.cc/CKP7Ydrp/snacks.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
570864840,22734030,24/01/23 0:17,24/01/23 0:36,24/01/23 0:39,On Time,2180.92,UPI,43708,3798451417,24/01/23,417688,1,22734030,Upasna Prabhu,"H.No. 409
Bala Road
Serampore-056880",Ludhiana,803129,Inactive,dolores quo,Pet Care,Luthra LLC,768.7,768.7,35,6406395,4,Impedit a quae necessitatibus. Sed sequi distinctio enim tempore.,Customer Service,Positive,43708,3,3.74,On Time,Traffic,0,1,https://i.postimg.cc/FRMdmQjx/pet-food.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
3417233457,84803951,30/04/23 1:06,30/04/23 1:18,30/04/23 1:21,On Time,3206.9,Card,13427,3425690333,30/04/23,587007,1,84803951,Bachittar Korpal,"H.No. 59, Hegde Ganj, Korba 752307",Sasaram,498442,Premium,eveniet fugiat,Baby Care,"Chandran, Jha and Choudhry",119.33,119.33,30,1948545,4,Vel velit veritatis sed eaque facilis ipsum.,Product Quality,Positive,13427,3,1.84,On Time,Traffic,2,1,https://i.postimg.cc/k55tvsJW/feeding.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
1820626922,21829197,06/11/23 4:20,06/11/23 4:39,06/11/23 4:59,Significantly Delayed,3988.56,Card,2000,2199613469,06/11/23,39812,1,21829197,Raagini Munshi,"53, Sandal Circle, Kota-628073",Bettiah,156025,New,soluta enim,Pet Care,Sarraf-Varkey,687.03,687.03,35,8686461,3,Repellendus minima voluptatem ipsum dolor commodi quod. Nostrum ipsum fugit beatae accusantium.,Delivery,Negative,2000,20,3.31,Significantly Delayed,Traffic,2,1,https://i.postimg.cc/FRMdmQjx/pet-food.png,https://i.postimg.cc/d02zccny/confused.png,___
641900260,55757543,10/09/23 13:24,10/09/23 13:34,10/09/23 13:39,On Time,3816.03,UPI,59781,1172346470,10/09/23,842190,1,55757543,Tejas Dayal,"11/044
Batta
Gopalpur 846373",Bilaspur,770778,New,ipsum impedit,Cold Drinks & Juices,Walia Inc,164.99,164.99,30,6622705,4,Minus consectetur rem sit saepe. Suscipit dignissimos non expedita sed modi.,Customer Service,Positive,59781,5,3.89,On Time,Traffic,0,1,https://i.postimg.cc/kXrKPWsd/softdrink.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
5419088751,88630009,11/02/23 21:40,11/02/23 21:55,11/02/23 22:00,On Time,2482.52,Wallet,35144,8063560670,11/02/23,138077,3,88630009,Chameli Dada,"H.No. 668, Modi Path
Bhubaneswar 408973",Sikar,689780,Regular,blanditiis sit,Snacks & Munchies,Thaker PLC,583.54,1750.62,35,501844,5,Enim dolorem eaque et quas ipsa illo in.,Product Quality,Positive,35144,5,4.08,On Time,Traffic,2,1,https://i.postimg.cc/CKP7Ydrp/snacks.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
5104032854,41882455,08/02/23 7:12,08/02/23 7:26,08/02/23 7:35,Slightly Delayed,1391.48,Wallet,66152,5805365014,08/02/23,38911,3,41882455,Samar Ravel,"H.No. 62, Bhatnagar
Raipur-355632",Ujjain,475238,Premium,non odio,Dairy & Breakfast,Pant Ltd,855.35,2566.05,20,26882,4,Sit quisquam alias assumenda illo. Minima officia quod cum modi quae sunt.,Delivery,Neutral,66152,9,4.99,Slightly Delayed,Traffic,0,0,https://i.postimg.cc/X7wFjX1B/food.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
6067180060,86907971,02/08/23 3:38,02/08/23 3:57,02/08/23 3:52,On Time,296.29,UPI,64703,3910243440,02/08/23,254285,1,86907971,Michael Shah,"H.No. 553
Jayaraman Street, Kurnool-857318",Dindigul,498245,Regular,laborum voluptas,Grocery & Staples,"Misra, Chaudhari and Keer",296.29,296.29,15,9173172,4,Perspiciatis animi necessitatibus qui. Similique aspernatur velit.,App Experience,Positive,64703,-5,3.11,On Time,,2,1,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
1026950968,3390859,25/03/23 16:29,25/03/23 16:46,25/03/23 17:08,Significantly Delayed,3698.49,Card,50964,6393388960,25/03/23,155719,1,3390859,Matthew Bora,"162, Lall Chowk, Sultan Pur Majra 181208",Bhiwandi,317042,New,libero quaerat,Baby Care,"Chakrabarti, Chandran and Bhat",428.7,428.7,30,2127801,1,"Voluptatem saepe blanditiis a. Omnis a nobis natus.
Alias cum minus architecto.",Delivery,Negative,50964,22,2.68,Significantly Delayed,Traffic,0,0,https://i.postimg.cc/k55tvsJW/feeding.png,https://i.postimg.cc/15zP0XBY/angry.png,_
4001539738,60149311,21/07/23 21:25,21/07/23 21:40,21/07/23 21:36,On Time,3264.51,Wallet,39469,4674407035,21/07/23,811951,2,60149311,Krishna Thakkar,"22
Dubey Ganj, Vasai-Virar 174991",Bhatpara,987600,Inactive,optio debitis,Cold Drinks & Juices,Lalla and Sons,581.75,1163.5,30,6395865,4,Ipsum ea magnam. Sapiente cum nam ipsum iure tempore labore. Deleniti reprehenderit deserunt hic.,Customer Service,Positive,39469,-4,0.6,On Time,,2,0,https://i.postimg.cc/kXrKPWsd/softdrink.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
1219123415,33538511,21/08/23 18:30,21/08/23 18:43,21/08/23 18:46,On Time,2405.84,Wallet,39076,2883334343,21/08/23,517688,1,33538511,Sneha Vora,"H.No. 716, Guha Chowk, Silchar 237205",Rajahmundry,842863,Inactive,maiores esse,Fruits & Vegetables,Lata-Ratta,915.2,915.2,25,3368575,5,Illo ipsa rerum.,Customer Service,Positive,39076,3,0.86,On Time,Traffic,1,0,https://i.postimg.cc/sgsWvyb6/fruits.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
845198818,5087009,10/06/23 15:29,10/06/23 15:39,10/06/23 15:38,On Time,1677.45,Wallet,61686,7391974667,10/06/23,512780,1,5087009,Robert Anand,"52/137, Deep Chowk
Farrukhabad 461849",Sasaram,217559,Inactive,quaerat architecto,Baby Care,Naik Inc,287.05,287.05,30,4831923,4,"Impedit beatae itaque dolores.
Quis expedita porro quae.",Customer Service,Positive,61686,-1,1.14,On Time,,1,1,https://i.postimg.cc/k55tvsJW/feeding.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
6140700888,51516232,02/06/23 9:51,02/06/23 10:05,02/06/23 10:14,Slightly Delayed,3730.9,Cash,85723,6907278828,02/06/23,93628,2,51516232,Hemani Pau,"21/18, Khurana Road, Vadodara 654274",Gulbarga,370795,Inactive,voluptatibus saepe,Pet Care,Dar Inc,683.35,1366.7,35,6402193,4,Sequi esse inventore. Delectus sed harum magnam consequatur nemo.,App Experience,Neutral,85723,9,4.5,Slightly Delayed,Traffic,2,1,https://i.postimg.cc/FRMdmQjx/pet-food.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
